uptime_s,free_mb,total_mb,percent,tensor_layers,metal_broken
 21, 6138, 12124, 51,-1,0
 21, 6138, 12124, 51,-1,0
 21, 6138, 12124, 51,-1,0
 21, 6138, 12124, 51,-1,0
 21, 6138, 12124, 51,-1,0
 21, 6138, 12124, 51,-1,0
 21, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 22, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 23, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 24, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 25, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 26, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
 27, 6138, 12124, 51,-1,0
